11:56:04.339	SERVER	admin	OK	Server was started (port: 1984).
11:58:02.613	127.0.0.1:53532	admin	REQUEST	OPEN Colenso	2.72 ms
11:58:02.614	127.0.0.1:53532	admin	OK	Database 'Colenso' was opened in 0.29 ms.	0.91 ms
11:58:14.313	127.0.0.1:53532	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	7.31 ms
11:58:14.857	127.0.0.1:53532	admin	OK	Query executed in 543.23 ms.	544.08 ms
11:58:14.858	127.0.0.1:53532	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	1.0 ms
11:58:14.874	127.0.0.1:53532	admin	OK	Query executed in 15.08 ms.	15.5 ms
11:59:14.368	127.0.0.1:53532	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.8 ms
11:59:14.374	127.0.0.1:53532	admin	OK	Query executed in 4.98 ms.	5.49 ms
12:59:10.545	127.0.0.1:53819	admin	REQUEST	OPEN Colenso	0.41 ms
12:59:10.545	127.0.0.1:53819	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.32 ms
12:59:12.568	127.0.0.1:53819	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.42 ms
12:59:12.785	127.0.0.1:53819	admin	OK	Query executed in 216.94 ms.	217.23 ms
13:00:36.682	127.0.0.1:53826	admin	REQUEST	OPEN Colenso	0.44 ms
13:00:36.682	127.0.0.1:53826	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.29 ms
13:00:58.327	127.0.0.1:53826	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.55 ms
13:00:58.332	127.0.0.1:53826	admin	OK	Query executed in 3.9 ms.	4.3 ms
13:02:07.317	127.0.0.1:53827	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text ''s and t''] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	1.07 ms
13:02:07.477	127.0.0.1:53827	admin	ERROR	Stopped at ., 2/53: [XPST0003] Expecting ']', found 's'.	160.11 ms
13:02:10.779	127.0.0.1:53827	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text ''''] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.45 ms
13:02:12.240	127.0.0.1:53827	admin	OK	Query executed in 1459.33 ms.	1460.54 ms
13:02:15.090	127.0.0.1:53827	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text ''y''] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.57 ms
13:02:15.149	127.0.0.1:53827	admin	ERROR	Stopped at ., 2/53: [XPST0003] Expecting ']', found 'y'.	58.4 ms
13:02:19.620	127.0.0.1:53827	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text ''t''] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.5 ms
13:02:19.644	127.0.0.1:53827	admin	ERROR	Stopped at ., 2/53: [XPST0003] Expecting ']', found 't'.	23.59 ms
13:02:27.113	127.0.0.1:53827	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; <result> { for $hit in collection('colenso') where $hitundefined return <li path='{ db:path($hit) }'>{ $hit//*:title }</li> } </result>	0.58 ms
13:02:27.117	127.0.0.1:53827	admin	ERROR	Stopped at ., 3/7: [XPST0008] Undefined variable $hitundefined.	4.9 ms
13:02:30.167	127.0.0.1:53827	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; <result> { for $hit in collection('colenso') where $hit//* return <li path='{ db:path($hit) }'>{ $hit//*:title }</li> } </result>	0.9 ms
13:02:30.502	127.0.0.1:53827	admin	OK	Query executed in 334.08 ms.	334.91 ms
13:06:34.933	127.0.0.1:53827	admin	REQUEST	XQUERY doc('colenso//Broughton/private_letters/PrLBrghtn-0001.xml')	0.58 ms
13:06:34.953	127.0.0.1:53827	admin	OK	Query executed in 18.97 ms.	19.44 ms
13:06:35.335	127.0.0.1:53827	admin	REQUEST	XQUERY doc('colenso//Broughton/css/blog.css')	0.41 ms
13:06:35.341	127.0.0.1:53827	admin	ERROR	Stopped at ., 1/4: [bxerr:BXDB0006] Database path 'colenso//Broughton/css/blog.css' yields no documents.	5.71 ms
13:06:35.655	127.0.0.1:53827	admin	REQUEST	XQUERY doc('colenso//favicon.ico')	0.44 ms
