12:36:21.945	SERVER	admin	OK	Server was started (port: 1984).
12:36:45.213	127.0.0.1:50220	admin	REQUEST	OPEN Colenso	2.48 ms
12:36:45.214	127.0.0.1:50220	admin	OK	Database 'Colenso' was opened in 0.21 ms.	0.64 ms
12:36:46.575	127.0.0.1:50220	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	59.1 ms
12:36:47.255	127.0.0.1:50220	admin	OK	Query executed in 673.34 ms.	674.13 ms
12:36:47.257	127.0.0.1:50220	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	1.49 ms
12:36:47.266	127.0.0.1:50220	admin	OK	Query executed in 8.79 ms.	9.22 ms
12:38:41.275	127.0.0.1:50221	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.58 ms
12:38:42.351	127.0.0.1:50221	admin	OK	Query executed in 1073.69 ms.	1075.78 ms
12:41:24.626	127.0.0.1:50221	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y & t '] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.73 ms
12:41:24.746	127.0.0.1:50221	admin	ERROR	Stopped at ., 2/55: [XPST0003] Invalid entity: '& t '] return <li pa...'.	121.16 ms
12:42:28.589	127.0.0.1:50221	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; <result> { for $hit in collection('colenso') where $hit return <li path='{ db:path($hit) }'>{ $hit//*:title }</li> } </result>	0.73 ms
12:42:28.813	127.0.0.1:50221	admin	OK	Query executed in 222.92 ms.	223.51 ms
12:42:34.550	127.0.0.1:50221	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text ''] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.39 ms
12:42:34.949	127.0.0.1:50221	admin	OK	Query executed in 399.34 ms.	399.65 ms
12:42:38.725	127.0.0.1:50221	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.45 ms
12:42:39.250	127.0.0.1:50221	admin	OK	Query executed in 525.1 ms.	525.45 ms
12:47:26.057	127.0.0.1:50221	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.64 ms
12:47:26.593	127.0.0.1:50221	admin	OK	Query executed in 536.31 ms.	536.82 ms
12:47:35.958	127.0.0.1:50221	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.46 ms
12:47:36.482	127.0.0.1:50221	admin	OK	Query executed in 522.7 ms.	523.0 ms
12:50:46.440	127.0.0.1:50449	admin	REQUEST	OPEN Colenso	0.46 ms
12:50:46.440	127.0.0.1:50449	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.27 ms
12:50:49.281	127.0.0.1:50449	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.37 ms
12:50:49.286	127.0.0.1:50449	admin	OK	Query executed in 5.44 ms.	5.81 ms
12:50:54.409	127.0.0.1:50450	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.37 ms
