10:41:10.500	SERVER	admin	OK	Server was started (port: 1984).
10:42:50.505	127.0.0.1:56322	admin	REQUEST	OPEN Colenso	3.47 ms
10:42:50.507	127.0.0.1:56322	admin	OK	Database 'Colenso' was opened in 0.36 ms.	1.47 ms
10:43:06.455	127.0.0.1:56322	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	29.73 ms
10:43:06.909	127.0.0.1:56322	admin	OK	Query executed in 452.19 ms.	453.07 ms
10:43:25.763	127.0.0.1:56323	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[. contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	1.48 ms
10:43:26.803	127.0.0.1:56323	admin	OK	Query executed in 1039.31 ms.	1040.39 ms
10:43:35.419	127.0.0.1:56323	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[. contains text 'y' ftand 't '] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.67 ms
10:43:36.360	127.0.0.1:56323	admin	OK	Query executed in 940.36 ms.	940.76 ms
10:43:47.289	127.0.0.1:56323	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[. contains text 'open & bay'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	1.06 ms
10:43:47.385	127.0.0.1:56323	admin	ERROR	Stopped at ., 2/41: [XPST0003] Invalid entity: '& bay'] return <li p...'.	96.43 ms
10:43:50.327	127.0.0.1:56323	admin	REQUEST	XQUERY doc('colenso//Colenso/newspaper_letters/NewsL-0009.xml')	0.87 ms
10:43:50.364	127.0.0.1:56323	admin	OK	Query executed in 37.14 ms.	37.66 ms
10:43:50.670	127.0.0.1:56323	admin	REQUEST	XQUERY doc('colenso//Colenso/newspaper_letters/css/carousel.cs.xml')	0.48 ms
10:43:50.680	127.0.0.1:56323	admin	ERROR	Stopped at ., 1/4: [bxerr:BXDB0006] Database path 'colenso//Colenso/newspaper_letters/css/carousel.cs.xml' yields no documents.	10.12 ms
10:43:51.017	127.0.0.1:56323	admin	REQUEST	XQUERY doc('colenso//Colenso/favicon.ic.xml')	0.34 ms
10:43:51.026	127.0.0.1:56323	admin	ERROR	Stopped at ., 1/4: [bxerr:BXDB0006] Database path 'colenso//Colenso/favicon.ic.xml' yields no documents.	8.73 ms
10:44:06.487	127.0.0.1:56323	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[. contains text 'open' ftand '20'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	1.08 ms
10:44:07.544	127.0.0.1:56323	admin	OK	Query executed in 1056.62 ms.	1057.06 ms
10:44:32.224	127.0.0.1:56323	admin	REQUEST	LIST Colenso	0.9 ms
10:44:32.369	127.0.0.1:56323	admin	OK		145.09 ms
10:44:58.976	127.0.0.1:56322	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.58 ms
10:44:58.984	127.0.0.1:56322	admin	OK	Query executed in 7.56 ms.	7.98 ms
10:44:59.568	127.0.0.1:56322	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.38 ms
10:44:59.573	127.0.0.1:56322	admin	OK	Query executed in 3.94 ms.	4.43 ms
10:45:01.132	127.0.0.1:56323	admin	REQUEST	LIST Colenso	0.49 ms
10:45:01.155	127.0.0.1:56323	admin	OK		23.48 ms
10:47:08.105	127.0.0.1:56322	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.78 ms
10:47:08.108	127.0.0.1:56322	admin	OK	Query executed in 2.47 ms.	3.03 ms
