11:29:42.620	SERVER	admin	OK	Server was started (port: 1984).
11:30:35.982	127.0.0.1:63363	admin	REQUEST	OPEN Colenso	5.83 ms
11:30:35.982	127.0.0.1:63363	admin	OK	Database 'Colenso' was opened in 0.62 ms.	1.66 ms
11:30:44.653	127.0.0.1:63363	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	11.42 ms
11:30:45.974	127.0.0.1:63363	admin	OK	Query executed in 1315.48 ms.	1316.11 ms
11:30:45.975	127.0.0.1:63363	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.97 ms
11:30:45.998	127.0.0.1:63363	admin	OK	Query executed in 22.35 ms.	22.92 ms
11:32:12.921	127.0.0.1:63364	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[. contains text 'Y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.64 ms
11:32:13.958	127.0.0.1:63364	admin	OK	Query executed in 1035.49 ms.	1036.6 ms
11:32:20.915	127.0.0.1:63364	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[. contains text 'a'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.61 ms
11:32:21.841	127.0.0.1:63364	admin	OK	Query executed in 925.72 ms.	926.18 ms
11:32:37.995	127.0.0.1:63364	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; <result> { for $hit in collection('colenso') where $hit//* return <li path='{ db:path($hit) }' title='{ $hit//*:title }'> { $hit//*} </li> } </result>	0.53 ms
11:32:55.668	127.0.0.1:63364	admin	OK	Query executed in 17672.52 ms.	17673.09 ms
11:34:38.895	127.0.0.1:63364	admin	REQUEST	XQUERY doc('colenso//Broughton/private_letters/PrLBrghtn-0001.xml')	0.73 ms
11:34:38.916	127.0.0.1:63364	admin	OK	Query executed in 21.07 ms.	21.76 ms
11:34:39.291	127.0.0.1:63364	admin	REQUEST	XQUERY doc('colenso//Broughton/private_letters/css/blog.cs.xml')	0.42 ms
11:34:39.314	127.0.0.1:63364	admin	ERROR	Stopped at ., 1/4: [bxerr:BXDB0006] Database path 'colenso//Broughton/private_letters/css/blog.cs.xml' yields no documents.	23.29 ms
11:34:39.630	127.0.0.1:63364	admin	REQUEST	XQUERY doc('colenso//Broughton/favicon.ic.xml')	0.33 ms
11:34:39.639	127.0.0.1:63364	admin	ERROR	Stopped at ., 1/4: [bxerr:BXDB0006] Database path 'colenso//Broughton/favicon.ic.xml' yields no documents.	9.38 ms
11:34:57.506	127.0.0.1:63364	admin	REQUEST	XQUERY //*	0.33 ms
11:34:57.514	127.0.0.1:63364	admin	ERROR	Stopped at ., 1/2: [XPDY0002] root(): no context value bound.	8.16 ms
11:35:59.003	127.0.0.1:63364	admin	REQUEST	XQUERY for $x in $collenso return $x	0.56 ms
11:35:59.014	127.0.0.1:63364	admin	ERROR	Stopped at ., 1/11: [XPST0008] Undefined variable $collenso.	11.6 ms
11:37:07.720	127.0.0.1:63364	admin	REQUEST	XQUERY for $x in collection('colenso') return $x	0.56 ms
11:37:08.612	127.0.0.1:63364	admin	OK	Query executed in 891.22 ms.	891.6 ms
11:52:07.910	127.0.0.1:63678	admin	REQUEST	OPEN Colenso	0.53 ms
11:52:07.925	127.0.0.1:63678	admin	OK	Database 'Colenso' was opened in 0.12 ms.	0.54 ms
11:52:11.047	127.0.0.1:63679	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; for $x in collection('colenso') return $x	0.36 ms
11:52:11.855	127.0.0.1:63679	admin	OK	Query executed in 807.31 ms.	807.74 ms
11:53:58.202	127.0.0.1:63726	admin	REQUEST	OPEN Colenso	32.35 ms
11:53:58.218	127.0.0.1:63726	admin	OK	Database 'Colenso' was opened in 0.09 ms.	0.57 ms
11:54:01.759	127.0.0.1:63726	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.38 ms
11:54:02.105	127.0.0.1:63726	admin	OK	Query executed in 345.58 ms.	345.89 ms
11:54:21.582	127.0.0.1:63727	admin	REQUEST	LIST Colenso	25.91 ms
11:54:23.521	127.0.0.1:63727	admin	OK		1939.67 ms
11:54:27.768	127.0.0.1:63727	admin	REQUEST	XQUERY doc('colenso/Colenso/newspaper_letters/NewsL-0006.xml')	0.45 ms
11:54:27.793	127.0.0.1:63727	admin	OK	Query executed in 25.3 ms.	25.77 ms
11:54:28.121	127.0.0.1:63727	admin	REQUEST	XQUERY doc('colenso/Colenso/newspaper_letters/css/blog.cs.xml')	0.39 ms
11:54:28.150	127.0.0.1:63727	admin	ERROR	Stopped at ., 1/4: [bxerr:BXDB0006] Database path 'colenso/Colenso/newspaper_letters/css/blog.cs.xml' yields no documents.	28.17 ms
11:54:28.592	127.0.0.1:63727	admin	REQUEST	XQUERY doc('colenso/Colenso/favicon.ic.xml')	0.4 ms
11:54:28.601	127.0.0.1:63727	admin	ERROR	Stopped at ., 1/4: [bxerr:BXDB0006] Database path 'colenso/Colenso/favicon.ic.xml' yields no documents.	9.38 ms
11:54:37.361	127.0.0.1:63727	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; for $x in collection('colenso') return $x	0.35 ms
11:54:38.909	127.0.0.1:63727	admin	OK	Query executed in 1547.93 ms.	1548.34 ms
12:00:21.728	127.0.0.1:63759	admin	REQUEST	OPEN Colenso	0.52 ms
12:00:21.728	127.0.0.1:63759	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.34 ms
12:00:24.068	127.0.0.1:63761	admin	REQUEST	OPEN Colenso	0.27 ms
12:00:24.068	127.0.0.1:63761	admin	OK	Database 'Colenso' was opened in 0.03 ms.	0.19 ms
12:00:25.098	127.0.0.1:63761	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.55 ms
12:00:25.101	127.0.0.1:63761	admin	OK	Query executed in 2.65 ms.	2.96 ms
12:00:34.851	127.0.0.1:63762	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; //NaN	0.43 ms
12:00:34.861	127.0.0.1:63762	admin	ERROR	Stopped at ., 1/67: [XPDY0002] root(): no context value bound.	9.62 ms
12:01:28.728	127.0.0.1:63762	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; //NaN	0.45 ms
12:01:28.736	127.0.0.1:63762	admin	ERROR	Stopped at ., 1/67: [XPDY0002] root(): no context value bound.	8.01 ms
12:02:36.156	127.0.0.1:63802	admin	REQUEST	OPEN Colenso	0.36 ms
12:02:36.156	127.0.0.1:63802	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.25 ms
12:03:00.715	127.0.0.1:63803	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; for $x in collection('Colenso') return $x	0.76 ms
12:03:01.433	127.0.0.1:63803	admin	OK	Query executed in 717.57 ms.	718.19 ms
12:03:37.210	127.0.0.1:63809	admin	REQUEST	OPEN Colenso	0.56 ms
12:03:37.210	127.0.0.1:63809	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.32 ms
